"SliderCrank"
"PART_4: PART/4"

"Time      "	"PART_4_XFORM.ACCX"
1.040000e-02	-3.821339e+06
1.050000e-02	-3.382522e+06
1.060000e-02	-2.944899e+06
1.070000e-02	-2.508641e+06
1.080000e-02	-2.073922e+06
1.090000e-02	-1.640914e+06
1.100000e-02	-1.209790e+06
1.110000e-02	-7.807246e+05
1.120000e-02	-3.538906e+05
1.130000e-02	7.053845e+04
1.140000e-02	4.923896e+05
1.150000e-02	9.114903e+05
1.160000e-02	1.327669e+06
1.170000e-02	1.740754e+06
1.180000e-02	2.150577e+06
1.190000e-02	2.556969e+06
1.200000e-02	2.959763e+06
1.210000e-02	3.358794e+06
1.220000e-02	3.753899e+06
1.230000e-02	4.144917e+06
1.240000e-02	4.531689e+06
1.250000e-02	4.914059e+06
1.260000e-02	5.291875e+06
1.270000e-02	5.664985e+06
1.280000e-02	6.033242e+06
1.290000e-02	6.396504e+06
1.300000e-02	6.754629e+06
1.310000e-02	7.107483e+06
1.320000e-02	7.454932e+06
1.330000e-02	7.796849e+06
1.340000e-02	8.133109e+06
1.350000e-02	8.463595e+06
1.360000e-02	8.788191e+06
1.370000e-02	9.106789e+06
1.380000e-02	9.419283e+06
1.390000e-02	9.725575e+06
1.400000e-02	1.002557e+07
1.410000e-02	1.031918e+07
1.420000e-02	1.060633e+07
1.430000e-02	1.088693e+07
1.440000e-02	1.116092e+07
1.450000e-02	1.142823e+07
1.460000e-02	1.168879e+07
1.470000e-02	1.194257e+07
1.480000e-02	1.218951e+07
1.490000e-02	1.242957e+07
1.500000e-02	1.266271e+07
1.510000e-02	1.288891e+07
1.520000e-02	1.310814e+07
1.530000e-02	1.332040e+07
1.540000e-02	1.352567e+07
1.550000e-02	1.372394e+07
1.560000e-02	1.391522e+07
1.570000e-02	1.409952e+07
1.580000e-02	1.427685e+07
1.590000e-02	1.444724e+07
1.600000e-02	1.461070e+07
1.610000e-02	1.476728e+07
1.620000e-02	1.491701e+07
1.630000e-02	1.505994e+07
1.640000e-02	1.519611e+07
1.650000e-02	1.532558e+07
1.660000e-02	1.544841e+07
1.670000e-02	1.556465e+07
1.680000e-02	1.567440e+07
1.690000e-02	1.577770e+07
1.700000e-02	1.587466e+07
1.710000e-02	1.596534e+07
1.720000e-02	1.604983e+07
1.730000e-02	1.612823e+07
