"  Pendulum"
"MEA_ANGLE_1: VARIABLE_CLASS/1"

"Time      "	"MEA_ANGLE_1.Q"
3.875000e+00	2.412540e+01
3.876000e+00	2.418007e+01
3.877000e+00	2.423452e+01
3.878000e+00	2.428874e+01
3.879000e+00	2.434272e+01
3.880000e+00	2.439648e+01
3.881000e+00	2.445000e+01
3.882000e+00	2.450329e+01
3.883000e+00	2.455634e+01
3.884000e+00	2.460916e+01
3.885000e+00	2.466175e+01
3.886000e+00	2.471411e+01
3.887000e+00	2.476623e+01
3.888000e+00	2.481811e+01
3.889000e+00	2.486976e+01
3.890000e+00	2.492117e+01
3.891000e+00	2.497234e+01
3.892000e+00	2.502328e+01
3.893000e+00	2.507398e+01
3.894000e+00	2.512444e+01
3.895000e+00	2.517467e+01
3.896000e+00	2.522465e+01
3.897000e+00	2.527440e+01
3.898000e+00	2.532390e+01
3.899000e+00	2.537317e+01
3.900000e+00	2.542219e+01
3.901000e+00	2.547097e+01
3.902000e+00	2.551951e+01
3.903000e+00	2.556781e+01
3.904000e+00	2.561587e+01
3.905000e+00	2.566368e+01
3.906000e+00	2.571125e+01
3.907000e+00	2.575858e+01
3.908000e+00	2.580566e+01
3.909000e+00	2.585250e+01
3.910000e+00	2.589909e+01
3.911000e+00	2.594544e+01
3.912000e+00	2.599154e+01
3.913000e+00	2.603740e+01
3.914000e+00	2.608300e+01
3.915000e+00	2.612837e+01
3.916000e+00	2.617348e+01
3.917000e+00	2.621835e+01
3.918000e+00	2.626296e+01
3.919000e+00	2.630733e+01
3.920000e+00	2.635145e+01
3.921000e+00	2.639532e+01
3.922000e+00	2.643895e+01
3.923000e+00	2.648232e+01
3.924000e+00	2.652544e+01
3.925000e+00	2.656831e+01
3.926000e+00	2.661093e+01
3.927000e+00	2.665329e+01
3.928000e+00	2.669541e+01
3.929000e+00	2.673727e+01
3.930000e+00	2.677888e+01
3.931000e+00	2.682023e+01
3.932000e+00	2.686134e+01
3.933000e+00	2.690219e+01
3.934000e+00	2.694278e+01
3.935000e+00	2.698312e+01
3.936000e+00	2.702320e+01
3.937000e+00	2.706303e+01
3.938000e+00	2.710261e+01
3.939000e+00	2.714193e+01
3.940000e+00	2.718099e+01
3.941000e+00	2.721979e+01
3.942000e+00	2.725834e+01
